"Census.Tract","CES.3.0.Score","Total.Population","California.County","Hispanic....","White....","African.American....","Native.American....","Asian.American....","Other....","ZIP","Longitude","Latitude","Ozone","PM2.5","Diesel.PM","Drinking.Water","Pesticides","Tox..Release","Traffic","Cleanup.Sites","Groundwater.Threats","Haz..Waste","Imp..Water.Bodies","Solid.Waste","Pollution.Burden","Asthma","Low.Birth.Weight","Poverty","Unemployment"
6071002502,47.44,8051,"San Bernardino",85.8,9,2.7,0.3,1.8,0.5,92335,-117.462458,34.077528,0.065,12.89,30.208,516.07,0,5152.488134,325.66,0,0,0.2,0,1.25,47.11,74.3,6.19,49.2,14.3
6077003405,47.44,4214,"San Joaquin",31,10.5,7.9,0.1,47.2,3.2,95210,-121.2861975,38.0255205,0.048,13.35,19.06,444.58,0,5213.908412,663.96,0,1.5,0.075,1,0,40.56,90.28,8.35,67.2,19.3
6037500402,47.44,4910,"Los Angeles",95.5,2.4,0.2,0.1,1.4,0.5,90660,-118.0763967,34.0036044,0.046,12.05,20.081,689.03,0,10703.1472,611.61,1.2,4,0,3,4.8,50.13,63.24,4.52,41.6,14.7
6029005003,47.43,3543,"Kern ",80.6,6.7,0.8,0.3,10.5,1.1,93215,-119.2324678,35.7436341,0.062,17.92,13.464,608.12,134.05,1.177256076,872.04,14.2,15.75,0,0,0.2,51.72,53.43,4.14,72.9,16.4
6037542700,47.43,5720,"Los Angeles",72.2,0.7,26,0.1,0.4,0.5,90220,-118.2360631,33.9013299,0.044,12.05,18.7,478.61,0.33,5872.753274,510.73,1.4,9.8,0.01,6,0,45.06,101.83,7.41,54.1,11.9
6037127910,47.43,4769,"Los Angeles",67.1,20.2,5,0,5.3,2.4,91405,-118.4443624,34.1975649,0.055,11.21,18.09,618.05,0,902.7493983,1497.58,2,0,0.2,0,0,45.01,98.74,5.61,61,11
6077004502,47.42,4450,"San Joaquin",79.5,13.4,0.3,0.6,4.9,1.4,95240,-121.2596577,38.1342162,0.048,8.69794377,14.383,612.58,4.24,167.5796131,511.9,13.25,61.75,0.03,6,0.4,47.43,48.82,5.62,74.1,17.9
6037203720,47.4,4001,"Los Angeles",96.7,1,0.7,0,1,0.6,90033,-118.2031501,34.0468935,0.046,12.89,32.425,225.83,0,8584.214202,892.52,2.75,0.3,0,7,0,45.74,87.77,4.64,88.2,15
6107003300,47.4,7837,"Tulare ",66,30.9,0.3,0.6,1.1,1.2,93267,-119.1119527,36.1328505,0.065,14.57,5.179,895.67,822.97,44.45540413,178.3,2,42.5,0,0,4,51.66,61.72,4.29,65,14.8
6031001003,47.4,5699,"Kings ",66.2,22.7,4.8,0.6,3.1,2.6,93230,-119.6730488,36.3058649,0.062,17.08,16.023,527.1,79.36,149.1067932,215.56,0,31,0.025,0,1.5,47.81,138.1,6.82,52.2,14.7
6037221601,47.38,3403,"Los Angeles",81.3,3.4,9.8,0.3,3.9,1.3,90007,-118.2959265,34.0348166,0.046,12.89,32.288,664.07,0,3579.212245,4179.42,1,3,0,0,0,49.07,58.23,6.29,60.1,9.3
6085512603,47.37,3954,"Santa Clara",86.1,9.6,0.9,0.4,1.9,1,95020,-121.5626698,37.001726,0.04,6.60204561,27.545,237.53,5940.21,3.606581859,854.86,19.5,16.5,0.16,0,5,47.27,67.35,5.53,58.8,14.5
6019002904,47.37,2897,"Fresno ",59.2,16.2,4.3,0.4,19.1,0.8,93727,-119.7272843,36.7468038,0.065,15.4,36.31,879.79,0,2544.664069,502.96,0.4,9,0,0,0,49.43,65.96,7.65,54.6,15
6037221820,47.37,3095,"Los Angeles",17.2,31,6.7,0,40.5,4.6,90007,-118.2864985,34.0304526,0.046,12.89,41.19,664.07,0,3788.767788,1362.73,0.2,0,0.25,0,0,49.73,58.23,8.62,77.9,13
6037530400,47.36,3683,"Los Angeles",76.6,2.9,1.2,0.4,18.2,0.7,91754,-118.1545859,34.0382967,0.046,12.05,25.084,971.49,0,12157.28129,1946.86,7.1,5.7,0.2,0,1.6,59.57,34.21,6.92,46.4,19
6037602403,47.36,5230,"Los Angeles",59.7,8.5,20.8,0.2,8.6,2.1,90250,-118.3481183,33.9130743,0.044,12.05,30.76,320.15,0,5079.943319,1025.09,9,15.75,0.08,0,0,47.57,78.54,6.64,52.3,11.2
6099003300,47.34,5077,"Stanislaus ",59.9,32.9,2.3,0.5,2.4,2,95363,-121.298493,37.4986999,0.053,11.21,3.428,894.15,1010.79,87.13015576,348.89,25.25,54.75,0.1,33,16,63.59,43.38,3.88,50.5,19.5
